api_id,module,package,tag,reason
"cn.hutool.ai.model.doubao::DoubaoServiceImpl::chatVision#void (String prompt, List<String> images, String detail, Consumer<String> callback)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.doubao::DoubaoServiceImpl::videoTasks#String (String text, String image, final List<DoubaoCommon.DoubaoVideo> videoParams)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoServiceImpl::getVideoTasksInfo#String (String taskId),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoServiceImpl::embeddingText#String (String[] input),hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.doubao::DoubaoServiceImpl::embeddingVision#String (String text, String image)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoServiceImpl::botsChat#String (final List<Message> messages),hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.doubao::DoubaoServiceImpl::botsChat#void (List<Message> messages, Consumer<String> callback)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoServiceImpl::tokenization#String (String[] text),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoServiceImpl::batchChat#String (final List<Message> messages),hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.doubao::DoubaoServiceImpl::createContext#String (final List<Message> messages, String mode)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.doubao::DoubaoServiceImpl::chatContext#String (final List<Message> messages, String contextId)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.doubao::DoubaoServiceImpl::chatContext#void (final List<Message> messages, String contextId, final Consumer<String> callback)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.doubao::DoubaoServiceImpl::imagesGenerations#String (String prompt),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiImageCount#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiImageCount::getCount#int (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiImageSize#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiImageSize::getValue#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiAspectRatio#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiAspectRatio::getRatio#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiPersonGeneration#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiPersonGeneration::getValue#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiDurationSeconds#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiDurationSeconds::getValue#Integer (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiVoice#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiCommon::GeminiVoice::getValue#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiConfig#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiConfig::GeminiConfig#(),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiConfig::GeminiConfig#(String apiKey),hutool-ai,ai.model,portable,candidate for idiomatic Rust
